p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.44414352268096e-09,9.675729890443,0.5,0.067,3.5163892860811e-05,2,Cd200r4
2.44521020530662e-09,2.86374348296082,0.708,0.201,3.51792392237464e-05,2,Fxyd5
2.51076879804248e-09,2.27499226511757,0.75,0.187,3.61224306974372e-05,2,Klhl6
3.07785370276167e-09,7.18664774296787,0.75,0.269,4.42810812216322e-05,2,Mafb
3.34621251350707e-09,1.97909152624778,0.75,0.209,4.81419594318262e-05,2,Rasa4
3.61974252607496e-09,5.3244374698387,0.625,0.119,5.20772357226404e-05,2,Ang
3.71067036511754e-09,8.36349143970329,0.792,0.366,5.3385414542946e-05,2,Milr1
4.0620833387201e-09,5.46861769349002,0.792,0.291,5.84411929941661e-05,2,Cxcl16
4.23282881871983e-09,6.44988351570558,0.5,0.067,6.08977082149222e-05,2,Nfam1
4.77170895586751e-09,6.80223652351424,0.708,0.209,6.86505767480659e-05,2,Cd36
5.78835178365145e-09,7.46263270501721,0.792,0.41,8.32770171113934e-05,2,Glipr1
6.31122298988607e-09,7.27166433975188,0.792,0.321,9.07995651554909e-05,2,Adam8
7.28483807753281e-09,9.13109883558134,0.667,0.209,0.000104806965421465,2,Arhgap30
7.82546455685939e-09,7.92636224955898,0.583,0.134,0.000112584958579536,2,Lcp2
7.89593239771437e-09,3.06880335415147,0.708,0.187,0.000113598779405917,2,Apobr
8.73867285947234e-09,11.6951546799844,0.5,0.082,0.000125723286429229,2,Lrmp
9.08559780980608e-09,2.93130972012611,0.667,0.157,0.00013071449568968,2,Adssl1
1.07451520095572e-08,8.8924831318156,0.5,0.075,0.0001545905019615,2,Lcn2
1.08476357195692e-08,8.46467855582445,0.583,0.142,0.000156064935097443,2,Pik3cg
1.1030912538193e-08,6.15319638087172,0.5,0.082,0.000158701738686982,2,Pik3r5
1.21030029108966e-08,7.07470347188051,0.5,0.082,0.00017412590287907,2,Adap2
1.23423497905735e-08,4.27805898265826,0.583,0.119,0.000177569386436981,2,Mmp12
1.38773610459759e-08,3.5244501443801,0.625,0.142,0.000199653593368455,2,Ptger4
1.49456071027051e-08,4.24505687851468,0.5,0.075,0.000215022449386618,2,Smagp
1.51099485071568e-08,3.73489139550202,0.667,0.187,0.000217386829172465,2,Sh3bp2
2.47068084484633e-08,4.99405108077049,0.75,0.239,0.000355456853148041,2,Gmip
2.51383630814698e-08,3.42489487134107,0.667,0.187,0.000361665629653106,2,Cebpa
2.60399179237094e-08,6.22971822820599,0.542,0.104,0.000374636299168407,2,Fam129a
2.73300638436093e-08,6.18239688955005,0.625,0.172,0.000393197628518007,2,Naip2
2.81143008930791e-08,1.33189279885296,0.667,0.172,0.000404480446948729,2,Cd300a
3.47772507907343e-08,2.333361813132,1,0.948,0.000500340307126294,2,Sh3bgrl3
4.58140349478905e-08,3.71301823979233,0.625,0.157,0.000659126520795301,2,Trpv2
4.87384927121675e-08,3.73626877931394,0.583,0.149,0.000701200694649953,2,Csf2rb2
5.21538302522072e-08,3.96494604565331,0.75,0.276,0.000750337155838505,2,Srgn
5.72605245077672e-08,3.84478372655739,0.625,0.164,0.000823807166093246,2,Lrrc33
6.02178604240328e-08,9.49525270687295,0.5,0.097,0.000866354357920559,2,Naip5
7.61536369921819e-08,3.48309772573512,0.583,0.142,0.00109562237540652,2,P2ry6
8.44283343228678e-08,2.49771317448154,0.75,0.299,0.0012146704459031,2,Arid3a
8.45991481030035e-08,5.26757298187472,0.75,0.321,0.00121712794375791,2,Lmo2
1.41425608769446e-07,4.84359136121743,0.542,0.119,0.00203469023336602,2,5430427O19Rik
1.46842640861324e-07,3.73408141619708,0.75,0.299,0.00211262507407187,2,Tnfrsf1b
1.83179614832505e-07,8.80776534983918,0.583,0.157,0.00263540511859525,2,Was
2.02860100089189e-07,3.53923545988548,0.542,0.112,0.00291854825998316,2,Crym
2.19838360415891e-07,3.29457100567463,0.75,0.276,0.00316281449130342,2,F11r
2.5085816967622e-07,3.27799970261724,0.625,0.172,0.00360909648713178,2,Phf11d
2.62082897094087e-07,5.55496723454491,0.833,0.5,0.00377058664049262,2,Gpnmb
2.9592754997432e-07,2.02851098182393,0.625,0.194,0.00425750966148054,2,Casp4
2.99256584498753e-07,2.6132903736381,0.542,0.112,0.00430540448118356,2,Gngt2
